lsl_ts,recv_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,marker,trial_index,session_id
26359.103620300004,1779031948.2205834,-127721.625,-128439.46875,-127873.953125,-128800.1640625,-127985.53125,-128064.0703125,-128015.9765625,-128078.5546875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.107620300005,1779031948.2205927,-127687.3828125,-128401.96875,-127842.703125,-128717.9296875,-127978.625,-127958.8671875,-127972.5859375,-128072.5703125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.111620300006,1779031948.2206016,-127679.828125,-128401.0703125,-127853.5234375,-128682.7890625,-127903.8828125,-127899.1171875,-127985.328125,-128066.6640625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.115620300006,1779031948.220611,-127688.3828125,-128420.0234375,-127886.5546875,-128672.2421875,-127918.1171875,-127738.875,-128026.703125,-128073.484375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.1188111,1779031948.2206197,-127668.71875,-128411.9765625,-127889.4609375,-128630.2421875,-127980.6796875,-127683.984375,-128030.234375,-128081.125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.122811100002,1779031948.2206287,-127609.5546875,-128366.5625,-127860.6953125,-128545.3515625,-128102.3203125,-127782.4609375,-127992.9765625,-128087.1171875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.126811100003,1779031948.2206378,-127717.0,-128286.2265625,-127844.6484375,-128420.3828125,-128119.90625,-127837.0234375,-127958.4140625,-128077.21875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.130811100003,1779031948.2206464,-127876.1640625,-128250.421875,-127806.203125,-128350.265625,-127958.078125,-127959.203125,-127949.3671875,-128064.453125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.134811100004,1779031948.2206557,-127887.1171875,-128251.8515625,-127813.15625,-128322.859375,-127926.7890625,-128140.203125,-127968.296875,-128068.3203125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.138811100005,1779031948.2206984,-127873.3046875,-128246.375,-127818.4765625,-128283.1015625,-127956.5859375,-128427.7578125,-127973.2109375,-128073.5703125,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.142811100006,1779031948.2207098,-127852.2265625,-128227.0859375,-127827.703125,-128222.640625,-128013.046875,-128562.7890625,-127962.59375,-128075.671875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.146811100007,1779031948.2207236,-127810.5859375,-128183.5859375,-127834.1171875,-128135.421875,-128029.8515625,-128454.265625,-127952.921875,-128072.7265625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.150811100008,1779031948.2207654,-127797.0859375,-128176.7734375,-127824.796875,-128095.140625,-127924.7578125,-128391.59375,-127966.109375,-128063.984375,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.15481110001,1779031948.2207801,-127809.5546875,-128200.5546875,-127856.1328125,-128090.359375,-127927.390625,-128367.2734375,-128011.3203125,-128069.9296875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.1712708,1779031948.220789,-127814.9609375,-128212.15625,-127879.3125,-127996.125,-127936.7109375,-128324.515625,-128035.578125,-128080.796875,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.175270800002,1779031948.220798,-127786.7109375,-128184.2578125,-127862.375,-127784.1171875,-128034.65625,-128232.1171875,-128008.015625,-128087.5625,REST,,019e3690-f645-761b-925e-75f7c656582e
26359.179270800003,1779031948.338269,-127722.9453125,-128117.4296875,-127843.5703125,-127952.609375,-128067.71875,-128096.0625,-127964.1640625,-128080.8828125,REST,,019e3690-f645-761b-925e-75f7c656582e
