lsl_ts,recv_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,marker,trial_index,session_id
11041.286593300005,1779367027.1898766,154500.625,88468.3828125,157155.203125,99194.5390625,123361.9140625,147487.046875,125839.203125,133619.890625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.290593300006,1779367027.1898851,154405.0,88659.7578125,157057.296875,99263.46875,123248.3203125,147450.03125,125746.3984375,133697.0,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.294593300006,1779367027.18993,154136.515625,88783.0078125,156788.40625,99243.0859375,122953.953125,147279.578125,125480.1875,133682.25,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.2955151,1779367027.1899433,154057.25,88494.8046875,156703.25,99108.171875,122898.96875,147152.84375,125396.7734375,133526.8125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.299515100001,1779367027.1899529,154324.796875,88207.5390625,156964.640625,99025.2890625,123198.703125,147301.96875,125651.71875,133433.078125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.303515100002,1779367027.1900012,154490.703125,88456.984375,157136.15625,99182.203125,123340.59375,147476.984375,125816.9375,133605.0,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.307515100003,1779367027.1900198,154399.5,88656.2734375,157048.453125,99261.4609375,123236.921875,147450.03125,125733.2578125,133688.5625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.311515100004,1779367027.1900299,154140.796875,88791.0546875,156788.953125,99250.734375,122954.21875,147265.625,125478.1796875,133684.0,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.315515100005,1779367027.1900856,154064.890625,88507.8125,156709.15625,99118.09375,122900.7109375,147153.515625,125400.125,133535.0,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.319515100005,1779367027.1900995,154336.734375,88221.3515625,156976.84375,99037.09375,123208.4921875,147311.09375,125662.3125,133444.46875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.323515100006,1779367027.1901083,154513.765625,88474.421875,157158.6875,99196.8203125,123365.1328125,147485.4375,125839.7421875,133618.6875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.327515100007,1779367027.1901572,154405.671875,88652.515625,157050.203125,99255.9609375,123239.609375,147439.84375,125734.4609375,133681.71875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.331515100008,1779367027.19017,154132.21875,88769.8671875,156785.859375,99244.4296875,122935.7109375,147268.84375,125468.5234375,133677.6875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.3339084,1779367027.190179,154072.40625,88503.3828125,156726.71875,99128.828125,122889.9765625,147179.390625,125412.328125,133547.0625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.3379084,1779367027.1902254,154366.25,88261.8515625,157011.03125,99066.59375,123238.9375,147331.875,125700.53125,133474.515625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.341908400002,1779367027.1902378,154525.96875,88503.3828125,157170.21875,99212.109375,123391.1484375,147480.203125,125855.03125,133635.84375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.345908400002,1779367027.190257,154402.59375,88655.46875,157047.921875,99256.8984375,123246.1796875,147428.84375,125732.1796875,133684.390625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.349908400003,1779367027.1903105,154133.703125,88769.328125,156790.6875,99244.4296875,122942.953125,147263.625,125473.21875,133680.640625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.353908400004,1779367027.1903214,154076.96875,88515.7265625,156734.09375,99138.2109375,122895.8828125,147178.734375,125419.171875,133555.109375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.357908400005,1779367027.315984,154367.859375,88269.2265625,157011.703125,99072.09375,123238.53125,147327.71875,125699.59375,133478.9375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.361908400006,1779367027.3160338,154527.171875,88505.796875,157169.953125,99214.1171875,123390.75,147481.953125,125853.6875,133635.453125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.365908400006,1779367027.3160508,154411.96875,88665.2578125,157060.125,99266.6875,123259.1875,147438.90625,125743.1796875,133690.96875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.369908400007,1779367027.3160667,154151.671875,88778.71875,156808.125,99254.0859375,122958.6484375,147273.28125,125487.703125,133684.53125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.3717687,1779367027.3161,154090.640625,88523.5,156745.625,99144.6484375,122905.40625,147185.171875,125429.09375,133560.21875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.375768700002,1779367027.3161151,154379.390625,88279.015625,157020.6875,99081.6171875,123248.0546875,147337.78125,125706.8359375,133487.921875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.379768700002,1779367027.316132,154532.140625,88503.7890625,157172.640625,99210.765625,123394.90625,147477.125,125854.625,133626.0625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.383768700003,1779367027.3161476,154418.140625,88661.6328125,157065.75,99260.390625,123263.75,147434.46875,125747.203125,133680.234375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.387768700004,1779367027.3161626,154139.859375,88767.5859375,156798.734375,99240.40625,122949.5234375,147263.34375,125477.375,133668.4375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.391768700005,1779367027.3161805,154086.359375,88520.8203125,156742.6875,99138.2109375,122904.734375,147181.546875,125424.9375,133548.671875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.395768700006,1779367027.3163006,154373.890625,88276.6015625,157015.0625,99076.25,123242.2890625,147335.765625,125700.53125,133478.8125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.399768700006,1779367027.3163576,154524.625,88493.4609375,157160.5625,99200.5703125,123383.5078125,147476.453125,125839.7421875,133613.046875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.403768700007,1779367027.3163693,154416.9375,88653.1875,157061.1875,99254.0859375,123262.40625,147434.875,125742.5078125,133674.734375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.407768700008,1779367027.316448,154149.25,88777.109375,156809.203125,99250.734375,122960.5234375,147275.6875,125486.8984375,133682.515625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.422108,1779367027.3164682,154077.234375,88524.84375,156736.640625,99140.359375,122896.1484375,147192.140625,125417.4296875,133552.828125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.426108000001,1779367027.316479,154361.28125,88270.703125,157009.03125,99069.546875,123235.8515625,147341.0,125693.828125,133470.890625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.430108000002,1779367027.3165622,154530.796875,88506.0703125,157178.0,99213.1796875,123399.1953125,147485.296875,125857.3125,133626.0625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.434108000003,1779367027.3165767,154419.34375,88661.5,157066.828125,99260.921875,123265.7578125,147440.90625,125743.984375,133677.421875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.438108000004,1779367027.3165858,154142.28125,88772.546875,156801.5625,99245.6328125,122950.328125,147266.4375,125476.296875,133673.796875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.442108000005,1779367027.3166769,154079.375,88525.6484375,156742.015625,99140.4921875,122897.625,147189.859375,125422.65625,133555.65625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.446108000006,1779367027.316704,154356.046875,88268.15625,157004.203125,99068.875,123227.8046875,147330.546875,125686.9921875,133470.484375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.450108000006,1779367027.3167195,154517.390625,88495.7421875,157166.46875,99204.4609375,123386.859375,147473.90625,125844.96875,133621.5,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.454108000007,1779367027.3167348,154403.921875,88653.859375,157059.984375,99254.7578125,123256.1015625,147428.03125,125738.3515625,133678.5,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.458108000008,1779367027.3167493,154126.046875,88766.5078125,156797.0,99239.1953125,122941.078125,147258.515625,125472.28125,133671.65625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.4604938,1779367027.316839,154053.765625,88525.109375,156726.71875,99138.2109375,122877.9140625,147171.890625,125406.5625,133554.3125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.4644938,1779367027.3169572,154331.515625,88261.984375,156990.109375,99062.5703125,123209.96875,147317.0,125673.7109375,133464.59375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.468493800001,1779367027.3169801,154499.546875,88488.5,157156.140625,99198.0234375,123371.703125,147466.53125,125833.9765625,133611.4375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.472493800002,1779367027.3169966,154391.046875,88644.875,157050.859375,99245.5,123245.375,147422.8125,125727.7578125,133664.015625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.476493800003,1779367027.3170114,154116.796875,88751.4921875,156788.140625,99224.4453125,122933.96875,147248.734375,125462.625,133649.0,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.480493800003,1779367027.317026,154051.625,88517.3359375,156720.828125,99128.9609375,122872.8125,147165.578125,125400.390625,133537.8125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.484493800004,1779367027.3170366,154332.578125,88258.5,156989.171875,99058.6875,123210.1015625,147313.234375,125672.640625,133459.09375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.488493800005,1779367027.317047,154498.34375,88482.1953125,157154.671875,99190.78125,123369.421875,147460.890625,125832.3671875,133602.71875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.492493800006,1779367027.4353602,154389.4375,88646.6171875,157050.859375,99248.1796875,123240.9453125,147422.8125,125727.4921875,133664.28125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.496493800007,1779367027.4355545,154120.546875,88760.609375,156790.6875,99232.7578125,122930.6171875,147254.09375,125463.5625,133656.09375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.5041351,1779367027.435577,154046.921875,88519.4765625,156716.53125,99127.6171875,122863.0234375,147159.546875,125394.359375,133534.46875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.5081351,1779367027.43559,154328.6875,88254.4765625,156983.953125,99052.25,123203.3984375,147306.9375,125665.6640625,133448.09375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.512135100002,1779367027.4356036,154498.46875,88475.4921875,157151.453125,99184.2109375,123369.828125,147455.9375,125829.546875,133593.203125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.516135100002,1779367027.4356177,154382.34375,88629.046875,157040.40625,99231.8203125,123233.4375,147407.65625,125717.03125,133646.046875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.520135100003,1779367027.4356308,154115.453125,88754.0390625,156788.546875,99226.453125,122928.875,147250.75,125461.953125,133647.390625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.524135100004,1779367027.4356441,154046.125,88522.8359375,156722.15625,99127.078125,122869.7265625,147159.28125,125400.796875,133532.984375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.528135100005,1779367027.4356577,154329.09375,88256.4921875,156988.375,99052.515625,123206.75,147299.15625,125670.4921875,133446.75,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.532135100006,1779367027.435668,154497.140625,88478.171875,157153.328125,99183.5390625,123368.3515625,147445.609375,125829.8125,133589.984375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.536135100007,1779367027.4356766,154385.28125,88634.8125,157045.09375,99231.421875,123238.3984375,147400.28125,125720.921875,133642.015625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.540135100007,1779367027.4356854,154111.703125,88753.3671875,156784.65625,99219.078125,122926.0546875,147237.0625,125457.125,133638.125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.5412208,1779367027.4356937,154023.59375,88512.1015625,156696.40625,99110.984375,122845.59375,147133.671875,125373.3046875,133518.09375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.5452208,1779367027.4357026,154282.5625,88216.65625,156937.953125,99009.1953125,123161.5546875,147258.390625,125617.3828125,133400.890625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.549220800001,1779367027.435711,154449.125,88430.6953125,157101.296875,99136.46875,123320.875,147408.71875,125774.15625,133541.5625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.553220800002,1779367027.4357195,154363.03125,88619.796875,157022.4375,99218.140625,123217.34375,147388.203125,125696.109375,133635.453125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.557220800003,1779367027.4357276,154089.4375,88737.2734375,156760.25,99203.125,122904.734375,147224.734375,125432.1796875,133626.328125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.561220800004,1779367027.4357357,154007.90625,88505.1328125,156678.703125,99102.0,122827.3515625,147131.125,125355.46875,133514.078125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.565220800005,1779367027.4357443,154290.34375,88225.78125,156949.21875,99021.0,123169.3359375,147262.40625,125630.53125,133423.15625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.569220800005,1779367027.4357524,154479.296875,88452.2890625,157136.96875,99162.7578125,123354.2734375,147426.5625,125811.4453125,133573.09375,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.573220800006,1779367027.4357607,154376.96875,88620.328125,157037.328125,99223.1015625,123231.5625,147390.484375,125711.53125,133636.78125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.577220800007,1779367027.4357688,154092.390625,88736.7421875,156763.609375,99202.3203125,122907.6796875,147231.03125,125436.0703125,133624.046875,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.5798195,1779367027.4357774,154002.671875,88507.0078125,156674.6875,99101.6015625,122824.9375,147130.84375,125352.921875,133508.578125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.583819500001,1779367027.4357858,154294.5,88227.921875,156951.765625,99024.7578125,123172.953125,147267.78125,125633.8828125,133421.140625,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
11041.587819500002,1779367027.435794,154485.328125,88453.6328125,157144.34375,99166.109375,123360.0390625,147437.03125,125820.0234375,133574.703125,REST,,019e4a8a-021a-73ee-93e6-5aa72efa3c15
